		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	大宮武蔵野	 計 	 63 	 26 	 37 	 46 	 26 	 20 	 - 	 - 	 - 	 - 	 - 	 - 	 46 	 26 	 20 	 17 	 - 	 17 	 - 	 - 	 - 	 17 	 - 	 17 	 - 	 - 	 - 			
		 現役 	 63 	 26 	 37 	 46 	 26 	 20 	 - 	 - 	 - 	 - 	 - 	 - 	 46 	 26 	 20 	 17 	 - 	 17 	 - 	 - 	 - 	 17 	 - 	 17 	 - 	 - 	 - 	 212 	 59 	 153 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	小川	 計 	 78 	 46 	 32 	 60 	 44 	 16 	 - 	 - 	 - 	 - 	 - 	 - 	 60 	 44 	 16 	 18 	 2 	 16 	 - 	 - 	 - 	 18 	 2 	 16 	 - 	 - 	 - 			
		 現役 	 78 	 46 	 32 	 60 	 44 	 16 	 - 	 - 	 - 	 - 	 - 	 - 	 60 	 44 	 16 	 18 	 2 	 16 	 - 	 - 	 - 	 18 	 2 	 16 	 - 	 - 	 - 	 195 	 104 	 91 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	桶川	 計 	 182 	 115 	 67 	 162 	 114 	 48 	 - 	 - 	 - 	 1 	 - 	 1 	 161 	 114 	 47 	 20 	 1 	 19 	 - 	 - 	 - 	 20 	 1 	 19 	 - 	 - 	 - 			
		 現役 	 178 	 111 	 67 	 158 	 110 	 48 	 - 	 - 	 - 	 1 	 - 	 1 	 157 	 110 	 47 	 20 	 1 	 19 	 - 	 - 	 - 	 20 	 1 	 19 	 - 	 - 	 - 	 306 	 170 	 136 
		 一浪 	 4 	 4 	 - 	 4 	 4 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 4 	 4 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	桶川西	 計 	 46 	 28 	 18 	 33 	 27 	 6 	 - 	 - 	 - 	 - 	 - 	 - 	 33 	 27 	 6 	 12 	 1 	 11 	 - 	 - 	 - 	 12 	 1 	 11 	 1 	 - 	 1 			
		 現役 	 46 	 28 	 18 	 33 	 27 	 6 	 - 	 - 	 - 	 - 	 - 	 - 	 33 	 27 	 6 	 12 	 1 	 11 	 - 	 - 	 - 	 12 	 1 	 11 	 1 	 - 	 1 	 182 	 91 	 91 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	越生	 計 	 7 	 3 	 4 	 3 	 1 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 3 	 1 	 2 	 4 	 2 	 2 	 - 	 - 	 - 	 4 	 2 	 2 	 - 	 - 	 - 			
		 現役 	 7 	 3 	 4 	 3 	 1 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 3 	 1 	 2 	 4 	 2 	 2 	 - 	 - 	 - 	 4 	 2 	 2 	 - 	 - 	 - 	 73 	 41 	 32 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
普通科	春日部	 計 	 355 	 355 	 … 	 355 	 355 	 … 	 131 	 131 	 … 	 7 	 7 	 … 	 217 	 217 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 			
		 現役 	 230 	 230 	 … 	 230 	 230 	 … 	 89 	 89 	 … 	 4 	 4 	 … 	 137 	 137 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 356 	 356 	 … 
		 一浪 	 119 	 119 	 … 	 119 	 119 	 … 	 39 	 39 	 … 	 3 	 3 	 … 	 77 	 77 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 … 	 … 	 … 			
		 二浪以上 	 6 	 6 	 … 	 6 	 6 	 … 	 3 	 3 	 … 	 - 	 - 	 … 	 3 	 3 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 … 	 … 	 … 			
	春日部女子	 計 	 252 	 … 	 252 	 245 	 … 	 245 	 7 	 … 	 7 	 12 	 … 	 12 	 226 	 … 	 226 	 7 	 … 	 7 	 - 	 … 	 - 	 7 	 … 	 7 	 - 	 … 	 - 			
		 現役 	 245 	 … 	 245 	 238 	 … 	 238 	 6 	 … 	 6 	 12 	 … 	 12 	 220 	 … 	 220 	 7 	 … 	 7 	 - 	 … 	 - 	 7 	 … 	 7 	 - 	 … 	 - 	 284 	 … 	 284 
		 一浪 	 7 	 … 	 7 	 7 	 … 	 7 	 1 	 … 	 1 	 - 	 … 	 - 	 6 	 … 	 6 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 … 	 … 	 … 			
	春日部東	 計 	 276 	 184 	 92 	 275 	 184 	 91 	 12 	 11 	 1 	 15 	 8 	 7 	 248 	 165 	 83 	 1 	 - 	 1 	 - 	 - 	 - 	 1 	 - 	 1 	 - 	 - 	 - 			
		 現役 	 262 	 172 	 90 	 261 	 172 	 89 	 10 	 9 	 1 	 15 	 8 	 7 	 236 	 155 	 81 	 1 	 - 	 1 	 - 	 - 	 - 	 1 	 - 	 1 	 - 	 - 	 - 	 306 	 206 	 100 
		 一浪 	 14 	 12 	 2 	 14 	 12 	 2 	 2 	 2 	 - 	 - 	 - 	 - 	 12 	 10 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	川口	 計 	 226 	 107 	 119 	 208 	 106 	 102 	 1 	 - 	 1 	 1 	 - 	 1 	 206 	 106 	 100 	 18 	 1 	 17 	 - 	 - 	 - 	 18 	 1 	 17 	 - 	 - 	 - 			
		 現役 	 226 	 107 	 119 	 208 	 106 	 102 	 1 	 - 	 1 	 1 	 - 	 1 	 206 	 106 	 100 	 18 	 1 	 17 	 - 	 - 	 - 	 18 	 1 	 17 	 - 	 - 	 - 	 322 	 146 	 176 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	川口北	 計 	 370 	 198 	 172 	 370 	 198 	 172 	 42 	 30 	 12 	 13 	 6 	 7 	 315 	 162 	 153 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 			
		 現役 	 316 	 152 	 164 	 316 	 152 	 164 	 38 	 27 	 11 	 11 	 4 	 7 	 267 	 121 	 146 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 358 	 182 	 176 
		 一浪 	 51 	 43 	 8 	 51 	 43 	 8 	 4 	 3 	 1 	 2 	 2 	 - 	 45 	 38 	 7 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 3 	 3 	 - 	 3 	 3 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 3 	 3 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
