	小川	 計 	 91 	 47 	 44 	 81 	 47 	 34 	 - 	 - 	 - 	 - 	 - 	 - 	 81 	 47 	 34 	 10 	 - 	 10 	 - 	 - 	 - 	 10 	 - 	 10 	 - 	 - 	 - 			
		 現役 	 91 	 47 	 44 	 81 	 47 	 34 	 - 	 - 	 - 	 - 	 - 	 - 	 81 	 47 	 34 	 10 	 - 	 10 	 - 	 - 	 - 	 10 	 - 	 10 	 - 	 - 	 - 	 191 	 91 	 100 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	桶川	 計 	 186 	 107 	 79 	 166 	 105 	 61 	 - 	 - 	 - 	 - 	 - 	 - 	 166 	 105 	 61 	 20 	 2 	 18 	 - 	 - 	 - 	 20 	 2 	 18 	 - 	 - 	 - 			
		 現役 	 186 	 107 	 79 	 166 	 105 	 61 	 - 	 - 	 - 	 - 	 - 	 - 	 166 	 105 	 61 	 20 	 2 	 18 	 - 	 - 	 - 	 20 	 2 	 18 	 - 	 - 	 - 	 313 	 166 	 147 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	桶川西	 計 	 37 	 23 	 14 	 30 	 22 	 8 	 - 	 - 	 - 	 - 	 - 	 - 	 30 	 22 	 8 	 7 	 1 	 6 	 - 	 - 	 - 	 7 	 1 	 6 	 - 	 - 	 - 			
		 現役 	 37 	 23 	 14 	 30 	 22 	 8 	 - 	 - 	 - 	 - 	 - 	 - 	 30 	 22 	 8 	 7 	 1 	 6 	 - 	 - 	 - 	 7 	 1 	 6 	 - 	 - 	 - 	 132 	 73 	 59 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
